time    band  flux        fluxerr      zp     zpsys redshift
54170.3  cspg  5.1428    0.0284202    0  csp  0.00544533
54174.3  cspg  5.88302   0.0379292    0  csp  0.00544533
54178.3  cspg  5.38022   0.0396429    0  csp  0.00544533
54179.3  cspg  5.16179   0.0380334    0  csp  0.00544533
54181.3  cspg  4.72063   0.030435     0  csp  0.00544533
54182.3  cspg  4.43813   0.0327013    0  csp  0.00544533
54185.3  cspg  3.61743   0.0199907    0  csp  0.00544533
54190.3  cspg  2.35505   0.0130145    0  csp  0.00544533
54194.3  cspg  1.66112   0.0107096    0  csp  0.00544533
54197.3  cspg  1.28351   0.00709295   0  csp  0.00544533
54199.2  cspg  1.10969   0.00715441   0  csp  0.00544533
54202.3  cspg  0.871766  0.00642341   0  csp  0.00544533
54207.2  cspg  0.638557  0.00470507   0  csp  0.00544533
54211.3  cspg  0.533089  0.00294596   0  csp  0.00544533
54213.2  cspg  0.498425  0.00367253   0  csp  0.00544533
54218.2  cspg  0.434911  0.0024034    0  csp  0.00544533
54171.3  cspr  4.37724   0.0282211    0  csp  0.00544533
54172.3  cspr  4.52481   0.03334      0  csp  0.00544533
54174.3  cspr  4.67305   0.0344323    0  csp  0.00544533
54178.3  cspr  4.67305   0.0301282    0  csp  0.00544533
54179.3  cspr  4.44631   0.0327616    0  csp  0.00544533
54181.3  cspr  4.10393   0.0302389    0  csp  0.00544533
54182.3  cspr  3.90841   0.0395976    0  csp  0.00544533
54185.3  cspr  3.15937   0.0174593    0  csp  0.00544533
54190.3  cspr  2.55859   0.0117827    0  csp  0.00544533
54194.3  cspr  2.37903   0.013147     0  csp  0.00544533
54197.3  cspr  2.22229   0.0122808    0  csp  0.00544533
54199.2  cspr  2.11057   0.0136074    0  csp  0.00544533
54202.3  cspr  1.86209   0.0120053    0  csp  0.00544533
54204.3  cspr  1.6474    0.0136558    0  csp  0.00544533
54207.2  cspr  1.33045   0.00980315   0  csp  0.00544533
54211.3  cspr  1.04232   0.00576006   0  csp  0.00544533
54213.2  cspr  0.963829  0.00621404   0  csp  0.00544533
54218.2  cspr  0.79506   0.00366139   0  csp  0.00544533
54169.3  cspi  2.10669   0.0155226    0  csp  0.00544533
54170.3  cspi  2.18978   0.0161349    0  csp  0.00544533
54171.3  cspi  2.22024   0.0224941    0  csp  0.00544533
54172.3  cspi  2.18374   0.0221242    0  csp  0.00544533
54174.3  cspi  2.05305   0.0189093    0  csp  0.00544533
54178.3  cspi  1.81134   0.0150148    0  csp  0.00544533
54179.3  cspi  1.71238   0.0157716    0  csp  0.00544533
54181.3  cspi  1.57471   0.0145036    0  csp  0.00544533
54182.3  cspi  1.46016   0.0134486    0  csp  0.00544533
54185.3  cspi  1.16091   0.00641545   0  csp  0.00544533
54190.3  cspi  1.09951   0.00607613   0  csp  0.00544533
54194.3  cspi  1.19784   0.00882604   0  csp  0.00544533
54197.3  cspi  1.24968   0.010359     0  csp  0.00544533
54199.2  cspi  1.26824   0.00934471   0  csp  0.00544533
54202.3  cspi  1.23595   0.0091068    0  csp  0.00544533
54204.3  cspi  1.13658   0.0104683    0  csp  0.00544533
54207.2  cspi  0.922996  0.00850111   0  csp  0.00544533
54211.3  cspi  0.717794  0.00396668   0  csp  0.00544533
54213.2  cspi  0.649232  0.00538168   0  csp  0.00544533
