time	flux	fluxerr	band	zpsys	redshift
1806.79	17.004	0.015	cspu	csp	0.0126
1809.8	15.77	0.01	cspu	csp	0.0126
1810.8	15.576	0.011	cspu	csp	0.0126
1813.79	15.304	0.014	cspu	csp	0.0126
1817.77	15.309	0.013	cspu	csp	0.0126
1818.77	15.381	0.012	cspu	csp	0.0126
1827.76	16.327	0.011	cspu	csp	0.0126
1830.74	16.779	0.013	cspu	csp	0.0126
1831.77	16.967	0.012	cspu	csp	0.0126
1837.81	17.834	0.016	cspu	csp	0.0126
1838.8	17.975	0.017	cspu	csp	0.0126
1839.76	18.131	0.018	cspu	csp	0.0126
1840.74	18.186	0.024	cspu	csp	0.0126
1841.74	18.31	0.032	cspu	csp	0.0126
1842.86	18.405	0.051	cspu	csp	0.0126
1844.79	18.458	0.035	cspu	csp	0.0126
1856.76	18.997	0.027	cspu	csp	0.0126
1867.71	19.27	0.035	cspu	csp	0.0126
1874.64	19.364	0.066	cspu	csp	0.0126
1878.65	19.461	0.033	cspu	csp	0.0126
1884.68	19.606	0.033	cspu	csp	0.0126
