time	flux	fluxerr	band	zpsys	redshift
831.9	14.476	0.006	cspb	csp	0.0109
832.92	14.447	0.006	cspb	csp	0.0109
833.91	14.429	0.006	cspb	csp	0.0109
835.93	14.493	0.006	cspb	csp	0.0109
838.88	14.668	0.006	cspb	csp	0.0109
841.92	14.955	0.006	cspb	csp	0.0109
845.88	15.46	0.006	cspb	csp	0.0109
846.88	15.595	0.006	cspb	csp	0.0109
850.85	16.135	0.007	cspb	csp	0.0109
853.92	16.49	0.008	cspb	csp	0.0109
858.86	16.996	0.029	cspb	csp	0.0109
861.87	17.216	0.01	cspb	csp	0.0109
862.84	17.275	0.01	cspb	csp	0.0109
866.84	17.466	0.014	cspb	csp	0.0109
867.84	17.502	0.016	cspb	csp	0.0109
870.85	17.587	0.018	cspb	csp	0.0109
871.83	17.611	0.016	cspb	csp	0.0109
872.82	17.644	0.016	cspb	csp	0.0109
891.79	17.997	0.014	cspb	csp	0.0109
