time	flux	fluxerr	band	zpsys	redshift
1046.68	16.048	0.013	cspb	csp	0.0059
1048.82	15.578	0.007	cspb	csp	0.0059
1049.78	15.461	0.015	cspb	csp	0.0059
1052.75	15.508	0.016	cspb	csp	0.0059
1056.74	16.22	0.011	cspb	csp	0.0059
1060.78	16.829	0.028	cspb	csp	0.0059
1065.76	17.221	0.029	cspb	csp	0.0059
1066.83	17.25	0.032	cspb	csp	0.0059
1068.76	17.384	0.029	cspb	csp	0.0059
1071.67	17.521	0.025	cspb	csp	0.0059
1073.73	17.596	0.019	cspb	csp	0.0059
1076.72	17.693	0.022	cspb	csp	0.0059
1080.77	17.805	0.022	cspb	csp	0.0059
1084.68	18.006	0.043	cspb	csp	0.0059
1087.63	18.059	0.045	cspb	csp	0.0059
1092.68	18.199	0.061	cspb	csp	0.0059
1096.66	18.316	0.039	cspb	csp	0.0059
1099.63	18.403	0.024	cspb	csp	0.0059
1100.66	18.428	0.041	cspb	csp	0.0059
1104.72	18.486	0.034	cspb	csp	0.0059
1106.65	18.569	0.03	cspb	csp	0.0059
1108.65	18.636	0.065	cspb	csp	0.0059
1110.61	18.735	0.082	cspb	csp	0.0059
1118.68	18.752	0.038	cspb	csp	0.0059
1123.63	19.081	0.048	cspb	csp	0.0059
1127.69	19.178	0.044	cspb	csp	0.0059
1133.6	19.358	0.067	cspb	csp	0.0059
1143.57	19.686	0.103	cspb	csp	0.0059
1147.57	19.928	0.085	cspb	csp	0.0059
