time	flux	fluxerr	band	zpsys	redshift
751.84	15.251	0.021	cspu	csp	0.0085
752.87	15.102	0.024	cspu	csp	0.0085
754.76	14.993	0.018	cspu	csp	0.0085
760.8	15.269	0.017	cspu	csp	0.0085
761.8	15.389	0.015	cspu	csp	0.0085
762.81	15.5	0.018	cspu	csp	0.0085
763.8	15.611	0.018	cspu	csp	0.0085
764.85	15.769	0.018	cspu	csp	0.0085
765.83	15.883	0.018	cspu	csp	0.0085
772.82	16.921	0.017	cspu	csp	0.0085
773.73	17.049	0.016	cspu	csp	0.0085
774.83	17.206	0.018	cspu	csp	0.0085
778.89	17.649	0.022	cspu	csp	0.0085
781.74	17.898	0.034	cspu	csp	0.0085
783.74	18.002	0.04	cspu	csp	0.0085
785.84	18.058	0.027	cspu	csp	0.0085
786.9	18.13	0.038	cspu	csp	0.0085
790.82	18.323	0.026	cspu	csp	0.0085
795.85	18.52	0.03	cspu	csp	0.0085
798.82	18.506	0.051	cspu	csp	0.0085
799.82	18.609	0.03	cspu	csp	0.0085
802.82	18.717	0.03	cspu	csp	0.0085
804.86	18.68	0.035	cspu	csp	0.0085
805.82	18.687	0.03	cspu	csp	0.0085
809.76	18.679	0.058	cspu	csp	0.0085
815.75	18.945	0.036	cspu	csp	0.0085
818.82	19.045	0.029	cspu	csp	0.0085
819.81	19.06	0.024	cspu	csp	0.0085
824.78	19.183	0.029	cspu	csp	0.0085
831.74	19.369	0.03	cspu	csp	0.0085
835.76	19.528	0.049	cspu	csp	0.0085
840.69	19.622	0.071	cspu	csp	0.0085
