time	flux	fluxerr	band	zpsys	redshift
815.64	17.668	0.019	cspu	csp	0.0167
818.7	16.335	0.015	cspu	csp	0.0167
819.73	16.096	0.015	cspu	csp	0.0167
823.67	15.629	0.014	cspu	csp	0.0167
824.67	15.591	0.013	cspu	csp	0.0167
831.65	15.91	0.016	cspu	csp	0.0167
832.65	16.041	0.013	cspu	csp	0.0167
834.74	16.271	0.014	cspu	csp	0.0167
835.59	16.346	0.015	cspu	csp	0.0167
840.63	16.995	0.016	cspu	csp	0.0167
841.69	17.154	0.015	cspu	csp	0.0167
845.57	17.7	0.016	cspu	csp	0.0167
850.63	18.341	0.018	cspu	csp	0.0167
858.57	18.929	0.025	cspu	csp	0.0167
861.57	19.13	0.031	cspu	csp	0.0167
866.56	19.24	0.041	cspu	csp	0.0167
870.58	19.437	0.053	cspu	csp	0.0167
871.54	19.335	0.035	cspu	csp	0.0167
