time	flux	fluxerr	band	zpsys	redshift
682.55	17.118	0.009	cspb	csp	0.034
683.56	17.018	0.009	cspb	csp	0.034
684.6	16.937	0.009	cspb	csp	0.034
687.55	16.841	0.011	cspb	csp	0.034
689.63	16.866	0.011	cspb	csp	0.034
690.58	16.902	0.009	cspb	csp	0.034
694.62	17.166	0.009	cspb	csp	0.034
695.61	17.254	0.009	cspb	csp	0.034
698.57	17.565	0.009	cspb	csp	0.034
699.6	17.672	0.009	cspb	csp	0.034
702.61	18.044	0.011	cspb	csp	0.034
706.64	18.587	0.018	cspb	csp	0.034
716.61	19.442	0.083	cspb	csp	0.034
721.58	19.754	0.06	cspb	csp	0.034
726.6	19.952	0.05	cspb	csp	0.034
730.59	20.137	0.031	cspb	csp	0.034
738.54	20.301	0.046	cspb	csp	0.034
755.55	20.574	0.061	cspb	csp	0.034
