time    band  flux        fluxerr      zp     zpsys redshift
291.55  cspr  0.440007   0.00114384   14.975  csp  0.0157
292.55  cspr  0.423311   0.0010384    14.975  csp  0.0157
294.5   cspr  0.397612   0.000887903  14.975  csp  0.0157
295.5   cspr  0.386776   0.00082864   14.975  csp  0.0157
298.53  cspr  0.35372    0.000828468  14.975  csp  0.0157
300.51  cspr  0.329503   0.00124896   14.975  csp  0.0157
301.51  cspr  0.314094   0.000492454  14.975  csp  0.0157
302.51  cspr  0.302454   0.00044809   14.975  csp  0.0157
303.51  cspr  0.284354   0.000480038  14.975  csp  0.0157
304.52  cspr  0.270308   0.00033835   14.975  csp  0.0157
305.51  cspr  0.253197   0.00043098   14.975  csp  0.0157
307.55  cspr  0.22012    0.00025309   14.975  csp  0.0157
308.52  cspr  0.20392    0.00016725   14.975  csp  0.0157
309.51  cspr  0.19066    0.000212059  14.975  csp  0.0157
310.52  cspr  0.178591   0.000150064  14.975  csp  0.0157
311.52  cspr  0.168058   0.000128907  14.975  csp  0.0157
312.51  cspr  0.159023   0.000112273  14.975  csp  0.0157
321.54  cspr  0.11083    6.37388e-05  14.975  csp  0.0157
329.53  cspr  0.0877928  4.57666e-05  14.975  csp  0.0157
341.54  cspr  0.0616395  2.73054e-05  14.975  csp  0.0157
266.52  cspi  0.0721657  3.15068e-05  14.767  csp  0.0157
267.52  cspi  0.103832   7.82355e-05  14.767  csp  0.0157
268.52  cspi  0.139936   0.000141402  14.767  csp  0.0157
271.55  cspi  0.251612   0.000408663  14.767  csp  0.0157
272.55  cspi  0.281016   0.000808085  14.767  csp  0.0157
273.54  cspi  0.306712   0.00100567   14.767  csp  0.0157
274.51  cspi  0.320576   0.0007488    14.767  csp  0.0157
275.52  cspi  0.329254   0.00100063   14.767  csp  0.0157
276.58  cspi  0.329254   0.000800508  14.767  csp  0.0157
277.51  cspi  0.319397   0.00129839   14.767  csp  0.0157
278.51  cspi  0.308696   0.00136269   14.767  csp  0.0157
279.52  cspi  0.30056    0.00127466   14.767  csp  0.0157
280.51  cspi  0.295346   0.00061005   14.767  csp  0.0157
281.51  cspi  0.291294   0.00058934   14.767  csp  0.0157
282.51  cspi  0.284663   0.00111275   14.767  csp  0.0157
287.56  cspi  0.22716    0.000316494  14.767  csp  0.0157
288.56  cspi  0.21574    0.000417308  14.767  csp  0.0157
289.57  cspi  0.208704   0.000320093  14.767  csp  0.0157
290.57  cspi  0.203766   0.000241194  14.767  csp  0.0157
291.55  cspi  0.203578   0.000240639  14.767  csp  0.0157
292.55  cspi  0.204895   0.000305686  14.767  csp  0.0157
294.5   cspi  0.211218   0.000263855  14.767  csp  0.0157
