time	flux	fluxerr	band	zpsys	redshift
1411.79	14.174	0.007	cspb	csp	0.0065
1413.82	13.655	0.016	cspb	csp	0.0065
1418.75	13.136	0.006	cspb	csp	0.0065
1421.72	13.095	0.004	cspb	csp	0.0065
1422.73	13.161	0.006	cspb	csp	0.0065
1426.66	13.588	0.006	cspb	csp	0.0065
1427.68	13.752	0.009	cspb	csp	0.0065
1428.72	13.948	0.006	cspb	csp	0.0065
1429.69	14.091	0.006	cspb	csp	0.0065
1430.67	14.278	0.006	cspb	csp	0.0065
1443.73	15.675	0.007	cspb	csp	0.0065
1445.73	15.765	0.007	cspb	csp	0.0065
1449.7	15.931	0.009	cspb	csp	0.0065
1453.64	16.067	0.009	cspb	csp	0.0065
1455.62	16.107	0.009	cspb	csp	0.0065
1457.63	16.18	0.01	cspb	csp	0.0065
1458.69	16.196	0.01	cspb	csp	0.0065
1462.73	16.311	0.009	cspb	csp	0.0065
1467.63	16.424	0.009	cspb	csp	0.0065
1468.64	16.45	0.01	cspb	csp	0.0065
1470.59	16.469	0.011	cspb	csp	0.0065
1472.61	16.537	0.012	cspb	csp	0.0065
1475.61	16.569	0.011	cspb	csp	0.0065
1476.65	16.608	0.011	cspb	csp	0.0065
1484.59	16.72	0.013	cspb	csp	0.0065
1488.58	16.844	0.014	cspb	csp	0.0065
1490.58	16.869	0.01	cspb	csp	0.0065
1494.62	16.932	0.009	cspb	csp	0.0065
1497.62	16.987	0.013	cspb	csp	0.0065
1499.6	17.026	0.016	cspb	csp	0.0065
1508.61	17.203	0.013	cspb	csp	0.0065
