time	flux	fluxerr	band	zpsys	redshift
1541.67	16.23	0.008	cspb	csp	0.0151
1542.56	16.092	0.005	cspb	csp	0.0151
1543.6	15.962	0.004	cspb	csp	0.0151
1545.68	15.77	0.007	cspb	csp	0.0151
1547.59	15.671	0.007	cspb	csp	0.0151
1548.58	15.661	0.004	cspb	csp	0.0151
1549.58	15.655	0.005	cspb	csp	0.0151
1551.69	15.691	0.004	cspb	csp	0.0151
1552.69	15.717	0.004	cspb	csp	0.0151
1558.56	15.992	0.007	cspb	csp	0.0151
1560.62	16.141	0.005	cspb	csp	0.0151
1562.61	16.325	0.006	cspb	csp	0.0151
1564.62	16.525	0.004	cspb	csp	0.0151
1566.63	16.748	0.006	cspb	csp	0.0151
1568.6	16.96	0.006	cspb	csp	0.0151
1569.72	17.074	0.005	cspb	csp	0.0151
1570.55	17.151	0.006	cspb	csp	0.0151
1573.56	17.448	0.008	cspb	csp	0.0151
1574.63	17.546	0.012	cspb	csp	0.0151
1575.6	17.661	0.011	cspb	csp	0.0151
1576.56	17.744	0.014	cspb	csp	0.0151
1582.58	18.21	0.009	cspb	csp	0.0151
1589.57	18.534	0.012	cspb	csp	0.0151
1592.54	18.626	0.013	cspb	csp	0.0151
1595.65	18.722	0.013	cspb	csp	0.0151
1606.5	18.922	0.109	cspb	csp	0.0151
1618.51	19.039	0.016	cspb	csp	0.0151
1626.48	19.166	0.019	cspb	csp	0.0151
1644.46	19.445	0.024	cspb	csp	0.0151
1646.46	19.477	0.02	cspb	csp	0.0151
