time	flux	fluxerr	band	zpsys	redshift
1795.56	17.184	0.009	cspb	csp	0.0379
1797.58	17.002	0.007	cspb	csp	0.0379
1798.58	16.941	0.007	cspb	csp	0.0379
1801.6	16.891	0.009	cspb	csp	0.0379
1802.56	16.89	0.009	cspb	csp	0.0379
1803.58	16.91	0.009	cspb	csp	0.0379
1806.57	17.04	0.009	cspb	csp	0.0379
1808.56	17.128	0.01	cspb	csp	0.0379
1809.56	17.208	0.011	cspb	csp	0.0379
1810.58	17.286	0.01	cspb	csp	0.0379
1813.55	17.52	0.011	cspb	csp	0.0379
1817.53	17.944	0.01	cspb	csp	0.0379
1818.54	18.078	0.011	cspb	csp	0.0379
1820.55	18.283	0.014	cspb	csp	0.0379
1830.54	19.277	0.025	cspb	csp	0.0379
1834.55	19.519	0.066	cspb	csp	0.0379
