time    band  flux        fluxerr      zp     zpsys redshift
53622.5  sdssg   2.204    0.3466  1  ab  0.11819
53627.4  sdssg  14.54     0.5497  1  ab  0.11819
53634.4  sdssg  34.48     1.652   1  ab  0.11819
53638.4  sdssg  38.26     0.8459  1  ab  0.11819
53640.4  sdssg  39.01     1.078   1  ab  0.11819
53643.5  sdssg  34.86     1.028   1  ab  0.11819
53646.5  sdssg  30.28     0.6137  1  ab  0.11819
53657.3  sdssg  11.48     2.341   1  ab  0.11819
53663.5  sdssg   7.643    1.688   1  ab  0.11819
53664.4  sdssg   5.855    1.166   1  ab  0.11819
53665.5  sdssg   5.412    1.084   1  ab  0.11819
53668.5  sdssg   5.668    0.9089  1  ab  0.11819
53669.4  sdssg   3.685    0.775   1  ab  0.11819
53670.5  sdssg   4.318    0.9528  1  ab  0.11819
53671.5  sdssg   3.428    0.6585  1  ab  0.11819
53674.4  sdssg   3.654    0.5398  1  ab  0.11819
53676.4  sdssg   3.409    0.607   1  ab  0.11819
53679.4  sdssg   2.478    0.5587  1  ab  0.11819
53681.4  sdssg   2.741    0.4743  1  ab  0.11819
53687.3  sdssg   0.5023   1.86    1  ab  0.11819
53696.4  sdssg   1.98     0.7149  1  ab  0.11819
53697.4  sdssg   1.092    0.727   1  ab  0.11819
53700.4  sdssg   2.108    0.5175  1  ab  0.11819
53705.3  sdssg   1.847    0.5273  1  ab  0.11819
53622.5  sdssr   3.32     0.5279  1  ab  0.11819
53627.4  sdssr  16.18     0.7312  1  ab  0.11819
53634.4  sdssr  38.87     1.575   1  ab  0.11819
53638.4  sdssr  45.54     0.9649  1  ab  0.11819
53640.4  sdssr  45.62     1.009   1  ab  0.11819
53643.4  sdssr  42.81     1.104   1  ab  0.11819
53646.5  sdssr  43.05     1.15    1  ab  0.11819
53657.3  sdssr  16.57     4.264   1  ab  0.11819
53663.5  sdssr  17.58     1.621   1  ab  0.11819
53664.4  sdssr  17.43     1.27    1  ab  0.11819
53665.5  sdssr  19.47     1.167   1  ab  0.11819
53668.5  sdssr  14.24     1.314   1  ab  0.11819
53669.4  sdssr  13.92     0.8991  1  ab  0.11819
53670.5  sdssr  12.28     0.9975  1  ab  0.11819
53671.4  sdssr  12.59     0.9761  1  ab  0.11819
53674.3  sdssr  10.5      0.893   1  ab  0.11819
53676.4  sdssr  10.83     0.8804  1  ab  0.11819
53679.4  sdssr   9.727    1.088   1  ab  0.11819
53681.4  sdssr   7.443    0.8213  1  ab  0.11819
53687.3  sdssr   4.179    2.04    1  ab  0.11819
53696.4  sdssr   5.257    0.8734  1  ab  0.11819
53697.4  sdssr   4.607    0.8765  1  ab  0.11819
53700.4  sdssr   5.538    0.8984  1  ab  0.11819
53705.3  sdssr   4.194    0.7969  1  ab  0.11819
53622.5  sdssi   3.325    0.8012  1  ab  0.11819
