time	flux	fluxerr	band	zpsys	redshift
695.86	16.97	0.013	cspb	csp	0.0192
702.83	15.729	0.008	cspb	csp	0.0192
703.86	15.701	0.008	cspb	csp	0.0192
706.84	15.701	0.007	cspb	csp	0.0192
707.86	15.733	0.008	cspb	csp	0.0192
712.84	16.035	0.007	cspb	csp	0.0192
716.86	16.463	0.009	cspb	csp	0.0192
720.83	17.007	0.012	cspb	csp	0.0192
721.84	17.16	0.013	cspb	csp	0.0192
728.85	17.987	0.016	cspb	csp	0.0192
730.86	18.215	0.011	cspb	csp	0.0192
736.81	18.574	0.011	cspb	csp	0.0192
738.85	18.642	0.015	cspb	csp	0.0192
740.85	18.712	0.015	cspb	csp	0.0192
741.82	18.724	0.014	cspb	csp	0.0192
745.77	18.876	0.015	cspb	csp	0.0192
748.77	18.927	0.031	cspb	csp	0.0192
751.81	18.941	0.044	cspb	csp	0.0192
752.8	19.031	0.052	cspb	csp	0.0192
761.77	19.138	0.016	cspb	csp	0.0192
762.78	19.214	0.018	cspb	csp	0.0192
763.78	19.199	0.026	cspb	csp	0.0192
764.79	19.217	0.019	cspb	csp	0.0192
765.77	19.222	0.018	cspb	csp	0.0192
771.75	19.32	0.017	cspb	csp	0.0192
772.84	19.33	0.021	cspb	csp	0.0192
774.74	19.356	0.019	cspb	csp	0.0192
775.61	19.341	0.026	cspb	csp	0.0192
778.76	19.444	0.053	cspb	csp	0.0192
783.69	19.514	0.046	cspb	csp	0.0192
784.76	19.481	0.038	cspb	csp	0.0192
795.73	19.73	0.024	cspb	csp	0.0192
798.74	19.783	0.025	cspb	csp	0.0192
804.74	19.841	0.048	cspb	csp	0.0192
805.67	19.757	0.051	cspb	csp	0.0192
818.67	20.135	0.033	cspb	csp	0.0192
819.69	20.176	0.03	cspb	csp	0.0192
823.64	20.256	0.032	cspb	csp	0.0192
831.62	20.282	0.052	cspb	csp	0.0192
838.64	20.398	0.175	cspb	csp	0.0192
840.6	20.51	0.121	cspb	csp	0.0192
846.64	20.573	0.045	cspb	csp	0.0192
858.54	20.851	0.056	cspb	csp	0.0192
861.5	20.89	0.127	cspb	csp	0.0192
