time	flux	fluxerr	band	zpsys	redshift
295.53	15.971	0.007	cspb	csp	0.0158
298.68	15.532	0.006	cspb	csp	0.0158
299.52	15.432	0.006	cspb	csp	0.0158
300.55	15.365	0.005	cspb	csp	0.0158
301.54	15.309	0.005	cspb	csp	0.0158
302.55	15.267	0.005	cspb	csp	0.0158
303.55	15.243	0.006	cspb	csp	0.0158
304.57	15.246	0.006	cspb	csp	0.0158
305.55	15.257	0.007	cspb	csp	0.0158
307.58	15.325	0.006	cspb	csp	0.0158
308.56	15.354	0.005	cspb	csp	0.0158
309.55	15.41	0.008	cspb	csp	0.0158
310.55	15.446	0.004	cspb	csp	0.0158
311.56	15.509	0.006	cspb	csp	0.0158
314.57	15.728	0.004	cspb	csp	0.0158
315.56	15.815	0.007	cspb	csp	0.0158
328.54	17.201	0.009	cspb	csp	0.0158
330.58	17.418	0.013	cspb	csp	0.0158
331.53	17.494	0.011	cspb	csp	0.0158
335.54	17.789	0.01	cspb	csp	0.0158
337.53	17.905	0.014	cspb	csp	0.0158
338.55	17.992	0.011	cspb	csp	0.0158
339.54	18.058	0.011	cspb	csp	0.0158
340.56	18.088	0.012	cspb	csp	0.0158
342.52	18.221	0.02	cspb	csp	0.0158
344.54	18.259	0.012	cspb	csp	0.0158
346.54	18.308	0.012	cspb	csp	0.0158
348.54	18.372	0.014	cspb	csp	0.0158
351.54	18.415	0.021	cspb	csp	0.0158
352.55	18.456	0.022	cspb	csp	0.0158
