@INSTRUMENT SDSS
@BAND i
@MAGSYS SDSS-AB-off
#Date :
#Flux :
#Fluxerr :
#ZP :
#end :
53616.439 2557.79072 285.48380 30.0000
53628.402 7127.27084 427.23379 30.0000
53635.410 5131.76393 383.78975 30.0000
53639.449 4145.56315 302.77339 30.0000
53641.449 4199.56532 322.21665 30.0000
53644.397 4088.46834 230.59148 30.0000
53657.408  945.01353 546.73568 30.0000
53663.393 2056.41220 401.87136 30.0000
53666.463 1240.30735 316.41017 30.0000
53668.383 -301.58374 412.64852 30.0000
53669.470 1040.26755 376.14672 30.0000
53670.388  622.17987 404.51944 30.0000
53673.356  933.89415 241.52297 30.0000
53675.353 1001.38920 320.49377 30.0000
53680.360  618.21698 293.21254 30.0000
53686.360 -407.10399 475.00520 30.0000
53687.417  879.98176 647.13758 30.0000
53693.362  450.74828 514.84222 30.0000
53699.383  452.34394 286.99706 30.0000
53704.345 -148.90614 392.90460 30.0000
