time	flux	fluxerr	band	zpsys	redshift
1834.67	16.213	0.007	cspb	csp	0.025
1837.72	16.	0.005	cspb	csp	0.025
1838.68	15.956	0.007	cspb	csp	0.025
1839.59	15.919	0.006	cspb	csp	0.025
1840.62	15.906	0.007	cspb	csp	0.025
1841.59	15.9	0.008	cspb	csp	0.025
1842.59	15.925	0.009	cspb	csp	0.025
1844.64	15.976	0.007	cspb	csp	0.025
1845.64	16.021	0.005	cspb	csp	0.025
1848.61	16.2	0.011	cspb	csp	0.025
1855.61	16.809	0.007	cspb	csp	0.025
1856.6	16.921	0.01	cspb	csp	0.025
1859.63	17.256	0.008	cspb	csp	0.025
1866.59	17.91	0.015	cspb	csp	0.025
1867.61	17.968	0.014	cspb	csp	0.025
1870.58	18.228	0.018	cspb	csp	0.025
1871.57	18.265	0.017	cspb	csp	0.025
1872.62	18.353	0.028	cspb	csp	0.025
1874.53	18.506	0.018	cspb	csp	0.025
1878.53	18.79	0.022	cspb	csp	0.025
1884.53	19.016	0.031	cspb	csp	0.025
