time	flux	fluxerr	band	zpsys	redshift
1036.81	17.078	0.007	cspb	csp	0.0213
1038.78	16.908	0.007	cspb	csp	0.0213
1039.77	16.841	0.007	cspb	csp	0.0213
1042.73	16.832	0.009	cspb	csp	0.0213
1048.78	17.267	0.01	cspb	csp	0.0213
1056.71	18.425	0.011	cspb	csp	0.0213
1060.69	18.93	0.014	cspb	csp	0.0213
1065.72	19.447	0.024	cspb	csp	0.0213
1068.72	19.608	0.025	cspb	csp	0.0213
1069.72	19.619	0.035	cspb	csp	0.0213
1080.72	20.154	0.055	cspb	csp	0.0213
1084.65	20.181	0.04	cspb	csp	0.0213
1087.67	20.273	0.04	cspb	csp	0.0213
1091.69	20.216	0.04	cspb	csp	0.0213
1096.63	20.381	0.075	cspb	csp	0.0213
1119.61	20.896	0.05	cspb	csp	0.0213
1127.64	21.01	0.157	cspb	csp	0.0213
