time    band  flux        fluxerr      zp     zpsys redshift
397.73  cspb  0.4484     0.000886174  14.529  csp  0.022
398.76  cspb  0.494839   0.000784907  14.529  csp  0.022
399.72  cspb  0.545085   0.000999579  14.529  csp  0.022
400.72  cspb  0.582995   0.00105115   14.529  csp  0.022
401.7   cspb  0.614419   0.000898931  14.529  csp  0.022
402.69  cspb  0.635133   0.00113939   14.529  csp  0.022
403.74  cspb  0.666291   0.00128432   14.529  csp  0.022
404.72  cspb  0.672456   0.00150198   14.529  csp  0.022
406.72  cspb  0.679305   0.00173308   14.529  csp  0.022
407.77  cspb  0.662011   0.00144432   14.529  csp  0.022
408.73  cspb  0.649328   0.00154817   14.529  csp  0.022
409.73  cspb  0.632215   0.00144816   14.529  csp  0.022
410.74  cspb  0.608785   0.00117129   14.529  csp  0.022
411.73  cspb  0.586227   0.000932551  14.529  csp  0.022
412.72  cspb  0.553689   0.000923986  14.529  csp  0.022
413.7   cspb  0.537606   0.000965646  14.529  csp  0.022
414.68  cspb  0.508704   0.000747593  14.529  csp  0.022
415.73  cspb  0.471697   0.000773704  14.529  csp  0.022
416.66  cspb  0.444288   0.000599538  14.529  csp  0.022
417.71  cspb  0.408192   0.000538982  14.529  csp  0.022
418.71  cspb  0.376761   0.000397024  14.529  csp  0.022
419.68  cspb  0.345515   0.000390813  14.529  csp  0.022
420.74  cspb  0.30936    0.000296461  14.529  csp  0.022
421.77  cspb  0.275718   0.000303156  14.529  csp  0.022
422.69  cspb  0.26234    0.000481881  14.529  csp  0.022
424.67  cspb  0.211283   0.000540228  14.529  csp  0.022
426.67  cspb  0.180828   0.000176001  14.529  csp  0.022
427.67  cspb  0.173167   0.000138995  14.529  csp  0.022
428.64  cspb  0.154051   0.000113184  14.529  csp  0.022
429.66  cspb  0.143637   0.00010689   14.529  csp  0.022
430.65  cspb  0.134173   7.01122e-05  14.529  csp  0.022
431.62  cspb  0.120577   5.36777e-05  14.529  csp  0.022
432.65  cspb  0.108759   4.3451e-05   14.529  csp  0.022
436.66  cspb  0.084036   1.45112e-05  14.529  csp  0.022
438.65  cspb  0.0757993  1.28143e-05  14.529  csp  0.022
444.67  cspb  0.0555732  7.37235e-06  14.529  csp  0.022
445.66  cspb  0.0539591  6.50623e-06  14.529  csp  0.022
446.67  cspb  0.0510582  6.5614e-06   14.529  csp  0.022
453.58  cspb  0.0399268  1.03218e-05  14.529  csp  0.022
454.61  cspb  0.0429798  9.69493e-06  14.529  csp  0.022
455.62  cspb  0.0378849  8.48646e-06  14.529  csp  0.022
456.59  cspb  0.038165   6.48318e-06  14.529  csp  0.022
457.59  cspb  0.036481   4.63318e-06  14.529  csp  0.022
458.58  cspb  0.038165   4.46619e-06  14.529  csp  0.022
459.57  cspb  0.0366157  3.24724e-06  14.529  csp  0.022
460.57  cspb  0.035881   2.09906e-06  14.529  csp  0.022
464.55  cspb  0.0335788  2.19682e-06  14.529  csp  0.022
465.61  cspb  0.0338582  2.24282e-06  14.529  csp  0.022
466.6   cspb  0.032097   1.96243e-06  14.529  csp  0.022
472.55  cspb  0.0302318  1.44826e-06  14.529  csp  0.022
474.53  cspb  0.0284227  1.586e-06    14.529  csp  0.022
476.52  cspb  0.0302597  2.49998e-06  14.529  csp  0.022
478.55  cspb  0.0279811  2.38714e-06  14.529  csp  0.022
479.55  cspb  0.0277246  3.43439e-06  14.529  csp  0.022
480.51  cspb  0.0272687  2.54894e-06  14.529  csp  0.022
396.77  cspg  0.803534   0.00595138   15.271  csp  0.022
397.73  cspg  0.891671   0.005018     15.271  csp  0.022
398.76  cspg  1.0172     0.0048287    15.271  csp  0.022
399.72  cspg  1.10919    0.00666174   15.271  csp  0.022
400.72  cspg  1.19951    0.00567133   15.271  csp  0.022
401.7   cspg  1.24912    0.00627604   15.271  csp  0.022
402.69  cspg  1.32009    0.00720585   15.271  csp  0.022
403.74  cspg  1.3951     0.0106373    15.271  csp  0.022
404.72  cspg  1.40671    0.00965333   15.271  csp  0.022
406.72  cspg  1.43815    0.011477     15.271  csp  0.022
407.77  cspg  1.39125    0.00821646   15.271  csp  0.022
408.73  cspg  1.37976    0.00919767   15.271  csp  0.022
409.73  cspg  1.35084    0.00763283   15.271  csp  0.022
410.74  cspg  1.31524    0.00611981   15.271  csp  0.022
411.73  cspg  1.27352    0.00564598   15.271  csp  0.022
412.72  cspg  1.21956    0.00506686   15.271  csp  0.022
