time	flux	fluxerr	band	zpsys	redshift
397.73	16.471	0.013	cspb	csp	0.022
398.76	16.364	0.009	cspb	csp	0.022
399.72	16.259	0.009	cspb	csp	0.022
400.72	16.186	0.008	cspb	csp	0.022
401.7	16.129	0.006	cspb	csp	0.022
402.69	16.093	0.007	cspb	csp	0.022
403.74	16.041	0.007	cspb	csp	0.022
404.72	16.031	0.008	cspb	csp	0.022
406.72	16.02	0.009	cspb	csp	0.022
407.77	16.048	0.008	cspb	csp	0.022
408.73	16.069	0.009	cspb	csp	0.022
409.73	16.098	0.009	cspb	csp	0.022
410.74	16.139	0.008	cspb	csp	0.022
411.73	16.18	0.007	cspb	csp	0.022
412.72	16.242	0.008	cspb	csp	0.022
413.7	16.274	0.009	cspb	csp	0.022
414.68	16.334	0.008	cspb	csp	0.022
415.73	16.416	0.01	cspb	csp	0.022
416.66	16.481	0.009	cspb	csp	0.022
417.71	16.573	0.01	cspb	csp	0.022
418.71	16.66	0.009	cspb	csp	0.022
419.68	16.754	0.011	cspb	csp	0.022
420.74	16.874	0.011	cspb	csp	0.022
421.77	16.999	0.015	cspb	csp	0.022
422.69	17.053	0.027	cspb	csp	0.022
424.67	17.288	0.052	cspb	csp	0.022
426.67	17.457	0.025	cspb	csp	0.022
427.67	17.504	0.022	cspb	csp	0.022
428.64	17.631	0.024	cspb	csp	0.022
429.66	17.707	0.027	cspb	csp	0.022
430.65	17.781	0.021	cspb	csp	0.022
431.62	17.897	0.021	cspb	csp	0.022
432.65	18.009	0.022	cspb	csp	0.022
436.66	18.289	0.014	cspb	csp	0.022
438.65	18.401	0.016	cspb	csp	0.022
444.67	18.738	0.02	cspb	csp	0.022
445.66	18.77	0.019	cspb	csp	0.022
446.67	18.83	0.022	cspb	csp	0.022
453.58	19.097	0.064	cspb	csp	0.022
454.61	19.017	0.05	cspb	csp	0.022
455.62	19.154	0.06	cspb	csp	0.022
456.59	19.146	0.045	cspb	csp	0.022
457.59	19.195	0.036	cspb	csp	0.022
458.58	19.146	0.031	cspb	csp	0.022
459.57	19.191	0.025	cspb	csp	0.022
460.57	19.213	0.017	cspb	csp	0.022
464.55	19.285	0.021	cspb	csp	0.022
465.61	19.276	0.021	cspb	csp	0.022
466.6	19.334	0.021	cspb	csp	0.022
472.55	19.399	0.018	cspb	csp	0.022
474.53	19.466	0.023	cspb	csp	0.022
476.52	19.398	0.031	cspb	csp	0.022
478.55	19.483	0.036	cspb	csp	0.022
479.55	19.493	0.053	cspb	csp	0.022
480.51	19.511	0.041	cspb	csp	0.022
