time	flux	fluxerr	band	zpsys	redshift
1133.84	16.853	0.019	cspb	csp	0.0139
1137.8	16.196	0.011	cspb	csp	0.0139
1143.76	15.899	0.013	cspb	csp	0.0139
1153.77	16.274	0.011	cspb	csp	0.0139
1154.66	16.348	0.012	cspb	csp	0.0139
1158.71	16.697	0.012	cspb	csp	0.0139
1160.68	16.892	0.014	cspb	csp	0.0139
1161.67	17.	0.015	cspb	csp	0.0139
1165.72	17.381	0.016	cspb	csp	0.0139
1166.67	17.613	0.059	cspb	csp	0.0139
1169.69	17.72	0.015	cspb	csp	0.0139
1174.75	18.078	0.016	cspb	csp	0.0139
1185.69	18.691	0.02	cspb	csp	0.0139
1194.62	18.895	0.034	cspb	csp	0.0139
1199.6	18.953	0.021	cspb	csp	0.0139
1203.71	19.045	0.02	cspb	csp	0.0139
1213.63	19.139	0.021	cspb	csp	0.0139
1246.54	19.538	0.087	cspb	csp	0.0139
