time	flux	fluxerr	band	zpsys	redshift
266.52	18.465	0.016	cspu	csp	0.0157
267.52	17.855	0.016	cspu	csp	0.0157
268.52	17.352	0.012	cspu	csp	0.0157
271.55	16.475	0.012	cspu	csp	0.0157
272.55	16.325	0.012	cspu	csp	0.0157
273.54	16.174	0.014	cspu	csp	0.0157
274.51	16.101	0.013	cspu	csp	0.0157
275.52	16.079	0.017	cspu	csp	0.0157
276.58	16.03	0.018	cspu	csp	0.0157
277.51	16.049	0.014	cspu	csp	0.0157
278.51	16.07	0.012	cspu	csp	0.0157
279.52	16.092	0.012	cspu	csp	0.0157
280.51	16.173	0.01	cspu	csp	0.0157
281.51	16.274	0.011	cspu	csp	0.0157
282.51	16.38	0.011	cspu	csp	0.0157
287.56	17.075	0.014	cspu	csp	0.0157
288.56	17.252	0.011	cspu	csp	0.0157
289.57	17.407	0.012	cspu	csp	0.0157
290.57	17.584	0.012	cspu	csp	0.0157
291.55	17.735	0.012	cspu	csp	0.0157
292.55	17.91	0.013	cspu	csp	0.0157
294.5	18.253	0.017	cspu	csp	0.0157
295.5	18.375	0.017	cspu	csp	0.0157
298.53	18.732	0.023	cspu	csp	0.0157
300.51	18.945	0.054	cspu	csp	0.0157
301.51	19.001	0.04	cspu	csp	0.0157
302.51	19.065	0.046	cspu	csp	0.0157
303.51	19.115	0.043	cspu	csp	0.0157
305.51	19.283	0.047	cspu	csp	0.0157
307.55	19.394	0.078	cspu	csp	0.0157
308.52	19.418	0.029	cspu	csp	0.0157
309.51	19.489	0.028	cspu	csp	0.0157
310.52	19.555	0.032	cspu	csp	0.0157
311.52	19.56	0.028	cspu	csp	0.0157
312.51	19.61	0.028	cspu	csp	0.0157
321.54	19.995	0.085	cspu	csp	0.0157
