time    band  flux        fluxerr      zp     zpsys redshift
53671.4  sdssg   0.000418042  7.31009e-05  14.3442  ab  0.422
53674.3  sdssg   0.000572042  6.78471e-05  14.3442  ab  0.422
53676.4  sdssg   0.000486085  6.16149e-05  14.3442  ab  0.422
53679.4  sdssg   0.000310709  7.7602e-05   14.3442  ab  0.422
53681.4  sdssg   0.000339763  5.30192e-05  14.3442  ab  0.422
53687.3  sdssg   0.000357375  0.000303784  14.3442  ab  0.422
53697.3  sdssg  -1.31238e-05  8.84707e-05  14.3442  ab  0.422
53700.3  sdssg   0.000150989  7.04364e-05  14.3442  ab  0.422
53705.3  sdssg   5.19052e-05  6.77719e-05  14.3442  ab  0.422
53674.3  sdssr   0.000894961  0.000107246  14.2332  ab  0.422
53676.4  sdssr   0.000791534  0.00010098   14.2332  ab  0.422
53679.4  sdssr   0.000537248  0.000128665  14.2332  ab  0.422
53681.4  sdssr   0.000627356  8.17221e-05  14.2332  ab  0.422
53687.3  sdssr   0.000690146  0.000245724  14.2332  ab  0.422
53697.3  sdssr   0.000371168  0.000104718  14.2332  ab  0.422
53700.3  sdssr   0.000225201  0.000106063  14.2332  ab  0.422
53705.3  sdssr   0.000320338  0.000114136  14.2332  ab  0.422
53681.4  sdssi   0.000484176  8.20762e-05  13.8897  ab  0.422
53687.3  sdssi   0.000439206  0.000214353  13.8897  ab  0.422
53697.3  sdssi   0.000193056  0.000114606  13.8897  ab  0.422
53700.3  sdssi   0.000422267  0.000138081  13.8897  ab  0.422
53705.3  sdssi   0.00011936   0.000120549  13.8897  ab  0.422
