time	flux	fluxerr	band	zpsys	redshift
1837.75	17.749	0.009	cspb	csp	0.013
1838.71	17.586	0.01	cspb	csp	0.013
1839.62	17.477	0.011	cspb	csp	0.013
1840.65	17.378	0.01	cspb	csp	0.013
1841.65	17.345	0.012	cspb	csp	0.013
1842.67	17.336	0.013	cspb	csp	0.013
1845.68	17.575	0.011	cspb	csp	0.013
1848.67	18.046	0.012	cspb	csp	0.013
1855.7	19.137	0.025	cspb	csp	0.013
1856.66	19.248	0.022	cspb	csp	0.013
1859.68	19.427	0.032	cspb	csp	0.013
1867.65	19.731	0.066	cspb	csp	0.013
1870.61	19.898	0.086	cspb	csp	0.013
1871.66	19.916	0.103	cspb	csp	0.013
1873.59	19.899	0.053	cspb	csp	0.013
1879.65	20.125	0.044	cspb	csp	0.013
1884.63	20.336	0.056	cspb	csp	0.013
