time	flux	fluxerr	band	zpsys	redshift
266.52	17.586	0.006	cspb	csp	0.0157
267.52	17.129	0.006	cspb	csp	0.0157
268.52	16.746	0.007	cspb	csp	0.0157
269.54	16.459	0.005	cspb	csp	0.0157
270.55	16.205	0.004	cspb	csp	0.0157
271.55	16.022	0.005	cspb	csp	0.0157
272.55	15.869	0.006	cspb	csp	0.0157
273.54	15.755	0.005	cspb	csp	0.0157
274.51	15.658	0.005	cspb	csp	0.0157
275.52	15.584	0.006	cspb	csp	0.0157
276.58	15.541	0.011	cspb	csp	0.0157
277.51	15.507	0.006	cspb	csp	0.0157
278.51	15.493	0.007	cspb	csp	0.0157
279.52	15.497	0.005	cspb	csp	0.0157
280.51	15.524	0.004	cspb	csp	0.0157
281.51	15.566	0.004	cspb	csp	0.0157
287.56	16.085	0.004	cspb	csp	0.0157
288.56	16.2	0.006	cspb	csp	0.0157
289.57	16.323	0.006	cspb	csp	0.0157
290.57	16.454	0.006	cspb	csp	0.0157
291.55	16.593	0.005	cspb	csp	0.0157
292.55	16.727	0.006	cspb	csp	0.0157
294.5	16.998	0.007	cspb	csp	0.0157
295.5	17.113	0.007	cspb	csp	0.0157
298.53	17.471	0.01	cspb	csp	0.0157
300.51	17.65	0.01	cspb	csp	0.0157
301.51	17.72	0.015	cspb	csp	0.0157
302.51	17.805	0.015	cspb	csp	0.0157
303.51	17.917	0.016	cspb	csp	0.0157
304.52	17.971	0.036	cspb	csp	0.0157
305.51	18.009	0.026	cspb	csp	0.0157
307.55	18.212	0.033	cspb	csp	0.0157
308.52	18.223	0.009	cspb	csp	0.0157
309.51	18.293	0.009	cspb	csp	0.0157
310.52	18.346	0.009	cspb	csp	0.0157
311.52	18.382	0.009	cspb	csp	0.0157
329.53	18.883	0.035	cspb	csp	0.0157
341.54	18.995	0.037	cspb	csp	0.0157
