time	flux	fluxerr	band	zpsys	redshift
1392.6	14.35	0.008	cspb	csp	0.0067
1394.59	14.148	0.013	cspb	csp	0.0067
1395.59	14.087	0.009	cspb	csp	0.0067
1398.5	14.022	0.012	cspb	csp	0.0067
1400.59	14.024	0.011	cspb	csp	0.0067
1403.56	14.118	0.01	cspb	csp	0.0067
1407.61	14.352	0.008	cspb	csp	0.0067
1409.57	14.52	0.009	cspb	csp	0.0067
1411.58	14.718	0.008	cspb	csp	0.0067
1413.59	14.929	0.007	cspb	csp	0.0067
1417.63	15.368	0.009	cspb	csp	0.0067
1421.55	15.747	0.009	cspb	csp	0.0067
1426.56	16.189	0.01	cspb	csp	0.0067
1428.57	16.352	0.013	cspb	csp	0.0067
1430.55	16.497	0.011	cspb	csp	0.0067
1435.54	16.772	0.01	cspb	csp	0.0067
1440.56	16.916	0.011	cspb	csp	0.0067
1443.63	16.979	0.012	cspb	csp	0.0067
1445.55	17.	0.011	cspb	csp	0.0067
1449.55	17.021	0.012	cspb	csp	0.0067
1455.53	17.121	0.015	cspb	csp	0.0067
1456.55	17.182	0.017	cspb	csp	0.0067
1457.53	17.158	0.023	cspb	csp	0.0067
1466.53	17.258	0.023	cspb	csp	0.0067
1470.55	17.345	0.014	cspb	csp	0.0067
