time	flux	fluxerr	band	zpsys	redshift
675.61	16.83	0.009	cspb	csp	0.013
682.58	15.978	0.006	cspb	csp	0.013
683.58	15.93	0.006	cspb	csp	0.013
684.62	15.92	0.007	cspb	csp	0.013
687.59	15.961	0.007	cspb	csp	0.013
689.66	16.118	0.009	cspb	csp	0.013
690.61	16.185	0.008	cspb	csp	0.013
694.65	16.688	0.009	cspb	csp	0.013
695.64	16.829	0.008	cspb	csp	0.013
698.59	17.286	0.009	cspb	csp	0.013
699.62	17.428	0.009	cspb	csp	0.013
702.63	17.793	0.014	cspb	csp	0.013
706.66	18.166	0.015	cspb	csp	0.013
712.57	18.429	0.018	cspb	csp	0.013
720.57	18.647	0.03	cspb	csp	0.013
725.6	18.766	0.02	cspb	csp	0.013
728.61	18.823	0.022	cspb	csp	0.013
730.62	18.797	0.021	cspb	csp	0.013
736.56	18.875	0.015	cspb	csp	0.013
739.56	18.933	0.015	cspb	csp	0.013
745.55	18.951	0.048	cspb	csp	0.013
748.57	19.034	0.067	cspb	csp	0.013
751.55	19.069	0.028	cspb	csp	0.013
761.54	19.194	0.026	cspb	csp	0.013
