time	flux	fluxerr	band	zpsys	redshift
775.68	16.697	0.007	cspb	csp	0.0052
778.86	15.908	0.008	cspb	csp	0.0052
780.87	15.604	0.009	cspb	csp	0.0052
783.72	15.408	0.007	cspb	csp	0.0052
784.83	15.373	0.007	cspb	csp	0.0052
785.81	15.363	0.007	cspb	csp	0.0052
786.84	15.361	0.007	cspb	csp	0.0052
788.85	15.419	0.007	cspb	csp	0.0052
790.8	15.509	0.007	cspb	csp	0.0052
795.78	15.898	0.006	cspb	csp	0.0052
798.8	16.226	0.007	cspb	csp	0.0052
799.8	16.319	0.007	cspb	csp	0.0052
802.79	16.646	0.009	cspb	csp	0.0052
804.78	16.844	0.009	cspb	csp	0.0052
805.74	16.928	0.011	cspb	csp	0.0052
809.74	17.242	0.023	cspb	csp	0.0052
815.72	17.731	0.014	cspb	csp	0.0052
818.79	17.905	0.016	cspb	csp	0.0052
824.75	18.125	0.013	cspb	csp	0.0052
831.71	18.19	0.014	cspb	csp	0.0052
832.78	18.215	0.013	cspb	csp	0.0052
835.67	18.244	0.016	cspb	csp	0.0052
838.7	18.277	0.042	cspb	csp	0.0052
841.74	18.331	0.022	cspb	csp	0.0052
845.66	18.288	0.013	cspb	csp	0.0052
850.67	18.372	0.014	cspb	csp	0.0052
853.67	18.419	0.013	cspb	csp	0.0052
858.6	18.499	0.027	cspb	csp	0.0052
862.67	18.514	0.021	cspb	csp	0.0052
866.62	18.497	0.023	cspb	csp	0.0052
870.64	18.569	0.033	cspb	csp	0.0052
872.63	18.606	0.018	cspb	csp	0.0052
890.59	18.904	0.024	cspb	csp	0.0052
891.59	18.86	0.025	cspb	csp	0.0052
906.46	19.137	0.021	cspb	csp	0.0052
