time	flux	fluxerr	band	zpsys	redshift
1165.8	14.675	0.015	cspu	csp	0.0055
1166.8	14.438	0.017	cspu	csp	0.0055
1169.87	14.018	0.017	cspu	csp	0.0055
1170.82	13.95	0.017	cspu	csp	0.0055
1174.85	13.917	0.018	cspu	csp	0.0055
1178.77	14.203	0.017	cspu	csp	0.0055
1179.83	14.329	0.018	cspu	csp	0.0055
1181.81	14.573	0.017	cspu	csp	0.0055
1182.78	14.688	0.017	cspu	csp	0.0055
1185.82	15.053	0.017	cspu	csp	0.0055
1190.78	15.719	0.017	cspu	csp	0.0055
1194.79	16.209	0.019	cspu	csp	0.0055
1197.79	16.549	0.019	cspu	csp	0.0055
1199.73	16.679	0.021	cspu	csp	0.0055
1202.84	16.891	0.019	cspu	csp	0.0055
1204.84	17.049	0.02	cspu	csp	0.0055
1207.76	17.195	0.021	cspu	csp	0.0055
1211.78	17.358	0.023	cspu	csp	0.0055
1213.74	17.407	0.023	cspu	csp	0.0055
1218.76	17.56	0.024	cspu	csp	0.0055
1224.78	17.658	0.031	cspu	csp	0.0055
1239.74	17.989	0.027	cspu	csp	0.0055
1246.67	18.143	0.027	cspu	csp	0.0055
1256.69	18.322	0.041	cspu	csp	0.0055
