time	flux	fluxerr	band	zpsys	redshift
1806.79	16.416	0.008	cspb	csp	0.0126
1808.81	15.716	0.006	cspb	csp	0.0126
1809.8	15.469	0.006	cspb	csp	0.0126
1810.8	15.285	0.006	cspb	csp	0.0126
1813.79	14.957	0.006	cspb	csp	0.0126
1817.77	14.861	0.009	cspb	csp	0.0126
1818.77	14.871	0.007	cspb	csp	0.0126
1827.76	15.531	0.005	cspb	csp	0.0126
1830.74	15.901	0.007	cspb	csp	0.0126
1831.77	16.049	0.006	cspb	csp	0.0126
1834.83	16.436	0.007	cspb	csp	0.0126
1837.81	16.782	0.008	cspb	csp	0.0126
1838.8	16.896	0.009	cspb	csp	0.0126
1839.76	17.006	0.008	cspb	csp	0.0126
1840.74	17.109	0.011	cspb	csp	0.0126
1841.74	17.239	0.013	cspb	csp	0.0126
1842.86	17.304	0.016	cspb	csp	0.0126
1844.79	17.47	0.017	cspb	csp	0.0126
1856.76	17.976	0.011	cspb	csp	0.0126
1867.71	18.196	0.011	cspb	csp	0.0126
1870.73	18.258	0.022	cspb	csp	0.0126
1874.64	18.332	0.019	cspb	csp	0.0126
1878.65	18.395	0.013	cspb	csp	0.0126
1884.68	18.456	0.012	cspb	csp	0.0126
