time	flux	fluxerr	band	zpsys	redshift
1724.84	14.874	0.007	cspb	csp	0.0057
1725.83	14.769	0.007	cspb	csp	0.0057
1726.83	14.7	0.006	cspb	csp	0.0057
1728.82	14.639	0.008	cspb	csp	0.0057
1732.83	14.646	0.007	cspb	csp	0.0057
1740.81	15.031	0.005	cspb	csp	0.0057
1744.83	15.411	0.006	cspb	csp	0.0057
1747.81	15.744	0.007	cspb	csp	0.0057
1749.81	15.945	0.006	cspb	csp	0.0057
1751.8	16.181	0.024	cspb	csp	0.0057
1752.87	16.253	0.007	cspb	csp	0.0057
1753.88	16.36	0.008	cspb	csp	0.0057
1759.85	16.955	0.009	cspb	csp	0.0057
1760.81	16.997	0.009	cspb	csp	0.0057
1765.84	17.3	0.007	cspb	csp	0.0057
1768.82	17.434	0.011	cspb	csp	0.0057
1770.8	17.489	0.009	cspb	csp	0.0057
1779.83	17.664	0.009	cspb	csp	0.0057
1781.83	17.677	0.009	cspb	csp	0.0057
1783.81	17.705	0.011	cspb	csp	0.0057
1790.84	17.815	0.01	cspb	csp	0.0057
1792.77	17.852	0.011	cspb	csp	0.0057
1795.77	17.847	0.011	cspb	csp	0.0057
1797.86	17.918	0.009	cspb	csp	0.0057
1803.83	18.017	0.009	cspb	csp	0.0057
1809.73	18.087	0.01	cspb	csp	0.0057
1813.83	18.148	0.015	cspb	csp	0.0057
1814.72	18.18	0.015	cspb	csp	0.0057
1820.73	18.245	0.011	cspb	csp	0.0057
