time	flux	fluxerr	band	zpsys	redshift
1869.68	17.222	0.01	cspb	csp	0.0273
1870.83	17.007	0.009	cspb	csp	0.0273
1871.79	16.828	0.009	cspb	csp	0.0273
1872.79	16.724	0.009	cspb	csp	0.0273
1873.77	16.611	0.009	cspb	csp	0.0273
1874.71	16.544	0.008	cspb	csp	0.0273
1878.76	16.415	0.009	cspb	csp	0.0273
1879.79	16.423	0.005	cspb	csp	0.0273
1883.77	16.595	0.007	cspb	csp	0.0273
1884.73	16.669	0.012	cspb	csp	0.0273
1888.65	17.021	0.009	cspb	csp	0.0273
1898.68	18.246	0.019	cspb	csp	0.0273
1900.69	18.447	0.025	cspb	csp	0.0273
1902.67	18.643	0.036	cspb	csp	0.0273
1908.67	19.084	0.021	cspb	csp	0.0273
1911.74	19.325	0.025	cspb	csp	0.0273
1914.66	19.405	0.031	cspb	csp	0.0273
1915.65	19.42	0.028	cspb	csp	0.0273
1917.73	19.557	0.034	cspb	csp	0.0273
1928.6	19.764	0.057	cspb	csp	0.0273
1931.64	19.825	0.081	cspb	csp	0.0273
1938.65	20.003	0.048	cspb	csp	0.0273
