time	flux	fluxerr	band	zpsys	redshift
689.69	16.631	0.011	cspb	csp	0.0049
690.77	16.143	0.01	cspb	csp	0.0049
694.76	15.219	0.009	cspb	csp	0.0049
695.72	15.104	0.007	cspb	csp	0.0049
698.72	14.901	0.006	cspb	csp	0.0049
699.72	14.929	0.012	cspb	csp	0.0049
702.71	15.128	0.012	cspb	csp	0.0049
703.77	15.297	0.013	cspb	csp	0.0049
706.72	15.767	0.014	cspb	csp	0.0049
707.83	15.925	0.008	cspb	csp	0.0049
712.71	16.574	0.012	cspb	csp	0.0049
713.68	16.638	0.012	cspb	csp	0.0049
716.67	16.845	0.009	cspb	csp	0.0049
720.68	17.027	0.012	cspb	csp	0.0049
721.66	17.094	0.011	cspb	csp	0.0049
725.72	17.236	0.011	cspb	csp	0.0049
730.72	17.383	0.011	cspb	csp	0.0049
736.67	17.525	0.014	cspb	csp	0.0049
737.68	17.559	0.013	cspb	csp	0.0049
741.65	17.638	0.011	cspb	csp	0.0049
746.68	17.733	0.017	cspb	csp	0.0049
750.62	17.821	0.016	cspb	csp	0.0049
755.64	17.943	0.015	cspb	csp	0.0049
761.7	18.096	0.015	cspb	csp	0.0049
763.59	18.098	0.016	cspb	csp	0.0049
764.6	18.116	0.015	cspb	csp	0.0049
765.59	18.155	0.021	cspb	csp	0.0049
767.55	18.186	0.012	cspb	csp	0.0049
771.57	18.251	0.016	cspb	csp	0.0049
773.58	18.298	0.016	cspb	csp	0.0049
775.42	18.339	0.02	cspb	csp	0.0049
778.57	18.364	0.023	cspb	csp	0.0049
784.55	18.522	0.016	cspb	csp	0.0049
786.56	18.549	0.022	cspb	csp	0.0049
798.54	18.81	0.022	cspb	csp	0.0049
804.57	18.855	0.029	cspb	csp	0.0049
809.54	19.09	0.084	cspb	csp	0.0049
819.51	19.154	0.026	cspb	csp	0.0049
